Sexo,Edades,Grupo etario ,Municipio ,Coordenadas
Mujer,14,12 a 17,jiquipilas,"16.42289,-93.78692"
Mujer,17,12 a 17,jiquipilas,"16.42289,-93.78692"
Mujer,14,12 a 17,jiquipilas,"16.42289,-93.78692"
Mujer,13,12 a 17,jiquipilas,"16.42289,-93.78692"
Mujer,13,12 a 17,jiquipilas,"16.42289,-93.78692"
Mujer,12,12 a 17,jiquipilas,"16.42289,-93.78692"
Hombre,15,12 a 17,jiquipilas,"16.42289,-93.78692"
Mujer,13,12 a 17,jiquipilas,"16.42289,-93.78692"
Mujer,13,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Hombre,5,0 a 5,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,16,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,15,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,4,0 a 5,tuxtlagutierrez,"16.71165,-93.11121"
Hombre,9,6 a 11,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,12,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,11,6 a 11,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,13,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,11,6 a 11,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,15,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,13,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,16,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,14,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,16,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,13,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Hombre,13,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Hombre,5,0 a 5,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,5,0 a 5,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,15,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,16,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Hombre,4,0 a 5,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,16,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,16,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,17,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,12,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,14,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,5,0 a 5,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,17,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,12,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,15,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,16,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Hombre,4,0 a 5,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,17,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,2,0 a 5,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,16,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,17,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,15,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,17,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,11,6 a 11,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,17,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,17,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,16,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,16,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Hombre,16,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,16,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,14,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,17,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,3,0 a 5,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,16,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,17,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,16,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,14,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,14,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,11,6 a 11,tuxtlagutierrez,"16.71165,-93.11121"
Hombre,15,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,13,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,15,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,11,6 a 11,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,15,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,16,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,17,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,14,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
Mujer,14,12 a 17,tuxtlagutierrez,"16.71165,-93.11121"
